label,code ,statement ,fiducial alpha,preferred alpha 1,preferred alpha 1 statement,preferred alpha 2,preferred alpha 2 statement,observations preffered alpha,link
Nie2026,MESA,Comparison with the observed population of binary pulsars with a WD companion shows better agreement with higher CE ejection efficiencies (alpha=3) ,1,3,,,,PSR+WD,https://arxiv.org/pdf/2601.04355
Deng2025,MESA,,1,,,,,,https://arxiv.org/pdf/2511.05075
He2023,BSE,,1,,,,,,https://arxiv.org/pdf/2307.07955
Wang2024,BSE,,1,,,,,IC 10 X-1,https://arxiv.org/pdf/2408.08004
Andrews2015,StarTrack,,1,,,,,,
Ugolini2025,SEVN,"We find that αCE = 0.5 and 5 in our best fit models when the Doppler Shifting effect is not considered and when a soft cut-off related to the Doppler Shifting effect is considered, respectively.",1,0.5,,5,,,https://arxiv.org/pdf/2510.17987
Iorio2023,SEVN ,,1,,,,,,https://arxiv.org/pdf/2211.11774
Broekgaarden2022,COMPAS,,1,,,,,,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract
Bavera2021,POSYDON,,1,,,,,,https://arxiv.org/pdf/2010.16333
Boesky2024,COMPAS,,1,,,,,,https://arxiv.org/pdf/2405.01623
Li2025,MOBSE,,1,,,,,,https://arxiv.org/abs/2510.08231v1
Sgalletta2025,SEVN,,1,,,,,,https://www.aanda.org/articles/aa/pdf/2025/06/aa52757-24.pdf
Mapelli18,MOBSE,,1,,,,,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.479.4391M/abstract
Giacobbo18,MOBSE,,1,,,,,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.2011G/abstract
Baibhav19,MOBSE,,1,,,,,,https://arxiv.org/abs/1906.04197
Giacobbo20,MOBSE,,1,,,,,,https://arxiv.org/abs/1909.06385
Mapelli20,MOBSE,,1,,,,,,https://arxiv.org/abs/2007.15022
Santoliquido20,MOBSE,,1,,,,,,https://ui.adsabs.harvard.edu/abs/2020arXiv200903911S/abstract